id,supermarket,name,price,reference_price,reference_unit
120682,carrefour-es,Bonito en rodaja 500 g aprox,4.25,8.5,kg
120732,carrefour-es,Lenguado ración 125 g aprox,2.11,16.9,kg
120899,carrefour-es,Picada de vacuno ecológico Carrefour Bio 400 g,3.9,9.75,kg
120900,carrefour-es,Hamburguesa de vacuno ecológica sin gluten y sin lactosa Carrefour Bio 2x120 g,2.39,9.96,kg
120901,carrefour-es,Carpaccio de vacuno ecológico Carrefour Bio 120 g aprox,2.99,24.92,kg
120902,carrefour-es,Filete 1ªA de añojo ecológico Carrefour Bio 500 g aprox,7.49,14.99,kg
120903,carrefour-es,Entrecot de añojo ecológico Carrefour Bio 500 g aprox,9.99,19.99,kg
120904,carrefour-es,Estofado de añojo ecológico Carrefour Bio 500 g aprox,5.95,11.9,kg
120905,carrefour-es,Solomillo de añojo ecológico Carrefour Bio 300 g aprox,11.67,38.9,kg
120906,carrefour-es,Pechuga de pollo fileteada ecológica Carrefour Bio 400 g,8.2,20.49,kg
120907,carrefour-es,Escalope de pollo ecológico Carrefour Bio 220 g ,2.62,11.9,kg
120908,carrefour-es,Hamburguesa de pollo ecológica Carrefour Bio 2x115 g,4.3,18.7,kg
120909,carrefour-es,Pechuga de pollo ecológica Carrefour Bio 400 g,7.98,19.95,kg
120910,carrefour-es,Preparado de carne picada de pollo ecológica Carrefour Bio 320 g,5.3,16.56,kg
120911,carrefour-es,"Pollo limpio entero ecológico Carrefour Bio 1,6 Kg aprox",14.8,9.25,kg
120912,carrefour-es,Jamoncito de pollo ecológico Carrefour Bio 320 g,3.49,10.9,kg
120913,carrefour-es,Muslo de pollo ecológico Carrefour Bio 340 g,3.37,9.9,kg
120914,carrefour-es,Ala de pollo s/punta ecológica Carrefour Bio 320 g,3.17,9.9,kg
120915,carrefour-es,Pechuga de pollo fileteada Roler 320 g,3.2,3.2,ud
120916,carrefour-es,Jamoncitos de pollo Carrefour 1 kg aprox,3.49,3.49,kg
120917,carrefour-es,"Pechuga de pollo fileteada Carrefour 1,2 kg aprox",5.99,4.99,kg
120918,carrefour-es,Pechuga de pollo certificado fileteado Carrefour 500 g aprox,4.25,8.5,kg
120919,carrefour-es,Pechuga de pavo fileteada Carrefour 600 g aprox,4.08,6.8,kg
120920,carrefour-es,Alas de pollo certificado Carrefour 500 g aprox,2.1,4.2,kg
120921,carrefour-es,Pechuga de pollo certificado entera Carrefour 500 g aprox,3.97,7.95,kg
120922,carrefour-es,Solomillo de pavo Carrefour duplo 600 g aprox,3.54,5.9,kg
120923,carrefour-es,Contramuslo de pollo Carrefour 1 kg aprox,2.59,2.59,kg
120924,carrefour-es,Chuleta de pavo marinada al ajillo Kovo 600 g aprox,3.48,5.8,kg
120925,carrefour-es,Longaniza Fresca de Pollo Carrefour 1 ud ,2.25,2.25,ud
120926,carrefour-es,Pechuga de pollo campero fileteada Calidad y Origen Carrefour 500 g aprox,6.7,13.4,kg
120927,carrefour-es,Carne de pavo para estofado Carrefour 500 g aprox,2.9,5.8,kg
120928,carrefour-es,Chuleta de pavo Carrefour 500 g aprox,2.45,4.9,kg
120929,carrefour-es,"Pollo campero limpio Calidad y Origen Carrefour 1,4 kg aprox",7.7,5.5,kg
120930,carrefour-es,Pechuga de Pavo marinada al pimentón Aldelís 500 g aprox,3.24,6.49,kg
120931,carrefour-es,Pechuga de Pollo Campero Entera Calidad y Origen Carrefour 450 g aprox,5.38,11.95,kg
120932,carrefour-es,"Pechuga de pollo Carrefour 1,2 kg aprox",6.47,5.39,kg
120933,carrefour-es,Pollo entero limpio Carrefour 2 kg aprox,4.98,2.49,kg
120934,carrefour-es,Jamoncitos de pollo Carrefour 500 g aprox,2.57,5.15,kg
120935,carrefour-es,Constramuslo de pavo fileteado Carrefour 500 g aprox,2.97,5.95,kg
120936,carrefour-es,"Traseros de pollo Carrefour 1,6 kg aprox",3.12,1.95,kg
120937,carrefour-es,Traseros de pollo certificado Carrefour 880 g aprox,3.74,4.25,kg
120938,carrefour-es,Contramuslo de pollo fileteado Carrefour 500 g aprox,3.15,6.3,kg
120939,carrefour-es,Hamburguesas de Añojo Carrefour Calidad y Origen 240 g,2.35,6.53,kg
120940,carrefour-es,Preparado de carne picada de vacuno Calidad y Origen Carrefour 400 g,3.9,9.75,kg
120941,carrefour-es,Carpaccio de vacuno marinado Roler 110 g,2.8,2.8,ud
120942,carrefour-es,Solomillo de vacuno 500 g aprox,14.95,29.9,kg
120943,carrefour-es,Chuletón de vacuno 1 Kg aprox,11.95,11.95,kg
120944,carrefour-es,Entrecot de vacuno para la piedra 1 Kg aprox,13.95,13.95,kg
120945,carrefour-es,Filete 1ªA de carne de Guadarrama 500 g aprox,5.67,11.35,kg
120946,carrefour-es,Filete de novillo de Irlanda 500 g aprox,5.47,10.95,kg
120947,carrefour-es,Estofado de carne de Guadarrama 500 g aprox,3.97,7.95,kg
120948,carrefour-es,Filete 1ªA de ternera blanca Carrefour 500 g aprox,7.45,14.9,kg
120949,carrefour-es,Chuletón de vacuno 650 g aprox,9.07,13.95,kg
120950,carrefour-es,Hueso de vacuno Carrefour 450 g aprox,1.3,2.9,kg
120952,carrefour-es,Entrecot de vaca extremeña madurado El Encinar de Humienta 400 g aprox,7.16,17.9,kg
120953,carrefour-es,Rabo de vacuno 500 g aprox,4.97,9.95,kg
120955,carrefour-es,Filete de novillo 1ªB de Irlanda Carrefour 700 g aprox,6.65,9.5,kg
120956,carrefour-es,Entrecot de vaca rubia Gallega madurado El Encinar de Humienta 500 g aprox,9.95,19.9,kg
120957,carrefour-es,Solomillo de carne de Guadarrama 500 g aprox,14.95,29.9,kg
120958,carrefour-es,Filete 1ªB de carne de Guadarrama 500 g aprox,5.95,11.9,kg
120959,carrefour-es,Entrecot de ternera blanca Carrefour 500 g aprox,10.75,21.5,kg
120960,carrefour-es,Entrecot de novillo de Irlanda 500 g aprox,8.97,17.95,kg
120961,carrefour-es,Entrecot de carne de Guadarrama 500 g aprox,8.45,16.9,kg
120962,carrefour-es,Costilla de ternera de Guadarrama 1 kg aprox,8.9,8.9,kg
120963,carrefour-es,Lomo de cerdo adobado fileteado Carreofour 650 g aprox,4.22,6.5,kg
120964,carrefour-es,Cinta de lomo de cerdo Extratiernos ElPozo 660 g,4.25,7.08,kg
120965,carrefour-es,Solomillo de cerdo Carrefour 2 ud 1 kg aprox,6.2,6.2,kg
