id,supermarket,name,price,reference_price,reference_unit
248789,mercadona-es,Banana,0.26,1.29,kg
248790,mercadona-es,Plátano,0.34,1.99,kg
248791,mercadona-es,Plátano macho,0.58,1.95,kg
248792,mercadona-es,Uva blanca sin semillas,2.84,3.79,kg
248793,mercadona-es,Uva negra sin semillas,2.99,3.99,kg
248794,mercadona-es,Uva sabores sin semillas,2.39,5.98,kg
248795,mercadona-es,Uva roja sin semillas,2.99,3.99,kg
248796,mercadona-es,Manzana golden,0.33,1.59,kg
248797,mercadona-es,Manzanas golden,1.94,1.29,kg
248798,mercadona-es,Pera conferencia,0.38,1.99,kg
248799,mercadona-es,Peras conferencia,2.69,1.79,kg
248800,mercadona-es,Manzana granny smith,0.45,1.79,kg
248801,mercadona-es,1/4 Sandía,1.27,0.69,kg
248802,mercadona-es,Media sandía,2.35,0.69,kg
248803,mercadona-es,Sandía,3.74,0.55,kg
248804,mercadona-es,Medio melón piel de sapo,2.06,1.13,kg
248805,mercadona-es,Melón piel de sapo,3.12,0.89,kg
248806,mercadona-es,Medio melón Galia,1.66,1.93,kg
248807,mercadona-es,Melón Galia,2.75,1.69,kg
248808,mercadona-es,Limones,2.29,2.29,kg
248809,mercadona-es,Limón,0.52,2.49,kg
248810,mercadona-es,Naranja,0.41,1.59,kg
248811,mercadona-es,Naranjas,3.79,1.26,kg
248812,mercadona-es,Pomelo,0.81,2.19,kg
248813,mercadona-es,Limas,1.6,3.99,kg
248814,mercadona-es,Kiwis amarillos,2.9,5.79,kg
248815,mercadona-es,Kiwi verde,0.42,3.85,kg
248816,mercadona-es,Kiwis verdes,3.59,3.59,kg
248817,mercadona-es,Aguacate,1.28,3.99,kg
248818,mercadona-es,Aguacates,2.08,3.79,kg
248819,mercadona-es,Piña,2.5,1.19,kg
248820,mercadona-es,Media piña,1.39,1.39,kg
248821,mercadona-es,Guacamole Hacendado,3.29,6.58,kg
248822,mercadona-es,Guacamole Hacendado,1.59,7.95,kg
248823,mercadona-es,Mango,1.48,2.85,kg
248824,mercadona-es,Piña natural a rodajas,2.55,5.1,kg
248825,mercadona-es,Papaya,6.15,4.49,kg
248826,mercadona-es,Media papaya,3.24,4.69,kg
248827,mercadona-es,Coco troceado,1.69,14.08,kg
248828,mercadona-es,Nectarina,0.48,2.2,kg
248829,mercadona-es,Fresas,2.29,5.73,kg
248830,mercadona-es,Ciruela roja,0.52,2.89,kg
248831,mercadona-es,Frambuesas,2.29,13.47,kg
248832,mercadona-es,Ciruela amarilla,0.46,2.89,kg
248833,mercadona-es,Moras,1.99,15.92,kg
248834,mercadona-es,Arándanos,2.59,11.51,kg
248835,mercadona-es,Melocotones amarillos mini,3.45,2.3,kg
248836,mercadona-es,Melocotón amarillo,0.64,2.65,kg
248837,mercadona-es,Paraguayo,0.37,2.5,kg
248838,mercadona-es,Ciruelas rojas mini,1.28,2.55,kg
248839,mercadona-es,Ciruelas amarilla mini,1.5,2.55,kg
