id,supermarket,name,price,reference_price,reference_unit
1076797,dia-es,Solomillo de cerdo (peso aprox. 600 gr),4.19,6.99,€/Kg.
1076798,dia-es,Cinta de lomo de cerdo en trozo (peso aprox. 1255 gr),5.51,4.39,€/Kg.
1076799,dia-es,Panceta de cerdo en filetes bandeja 560 g,3.05,5.45,€/Kg.
1076800,dia-es,SERRANO fiambre de magro envase 240 gr,1.75,7.29,€/Kg.
1076801,dia-es,Filete de cinta de lomo de cerdo bandeja 400 gr,2.6,6.5,€/Kg.
1076802,dia-es,HEMOSA preparado para cocido 450 gr,2.49,5.53,€/Kg.
1076803,dia-es,Chuleta de aguja de cerdo bandeja (peso aprox. 750 gr),3.52,4.69,€/Kg.
1076804,dia-es,ELPOZO escalopín de lomo de cerdo marinado extratierno bandeja 600 gr,3.99,6.65,€/Kg.
1076805,dia-es,Espinazo salado bandeja (peso aprox. 500 gr),1.7,3.4,€/Kg.
1076806,dia-es,Tira de costilla de cerdo envasada al vacío (peso aprox. 1 Kg),4.95,4.95,€/Kg.
1076807,dia-es,Secreto de cerdo (peso aprox. 800 gr),5.04,6.3,€/Kg.
1076808,dia-es,Codillo cocido salmuerizado (peso aprox. 1.7 Kg),6.55,3.85,€/Kg.
1076809,dia-es,Escalopín de jamón bandeja 400 gr,2.75,6.88,€/Kg.
1076810,dia-es,Chuleta de sajonia bandeja 400 gr,3.69,9.23,€/Kg.
1076811,dia-es,Fiambre de lomo adobado bandeja 400 gr,2.89,7.23,€/Kg.
1076812,dia-es,Filete de cinta de lomo tierna bandeja 300 gr,2.05,6.83,€/Kg.
1076813,dia-es,Lomo de cerdo extra al ajillo bandeja 300 gr,2.5,8.33,€/Kg.
1076814,dia-es,Chuleta de lomo bandeja 600 gr,2.95,4.92,€/Kg.
1076815,dia-es,Longaniza fresca sin tripa bandeja 375 gr,1.89,5.04,€/Kg.
1076816,dia-es,Longaniza fresca bandeja 285 gr,1.59,5.58,€/Kg.
1076817,dia-es,Conejo entero bandeja (peso aprox. 1560 gr),9.28,5.95,€/Kg.
1076818,dia-es,Medio conejo troceado bandeja (900 gr aprox.),7.19,7.99,€/Kg.
1076819,dia-es,ROLER escalopín de pavo extra tierno bandeja (peso aprox. 600 gr),4.05,6.75,€/Kg.
1076820,dia-es,ROLER escalopín de pavo adobado bandeja (peso aprox. 600 gr),3.87,6.45,€/Kg.
1076821,dia-es,Chuletas de pavo al ajillo bandeja (peso aprox. 800 gr),4.64,5.8,€/Kg.
1076822,dia-es,Solomillo de pavo marinado (peso aprox. 600 gr),3.75,6.25,€/Kg.
1076823,dia-es,Medallones de pavo a las finas hierbas bandeja (peso aprox. 630 gr),5.36,8.5,€/Kg.
1076824,dia-es,Jamoncitos de pollo familiar bandeja (peso aprox. 1.2 Kg),4.74,3.95,€/Kg.
1076825,dia-es,Pollo limpio entero unidad (peso aprox. 2.1 Kg),5.23,2.49,€/Kg.
1076826,dia-es,Filetes de pechuga de pollo bandeja (peso aprox. 700 gr),4.89,6.98,€/Kg.
1076827,dia-es,Pechugas enteras de pollo bandeja (peso aprox. 750 gr),4.64,6.19,€/Kg.
1076828,dia-es,Cuartos traseros de pollo bandeja (peso aprox. 1 Kg),2.75,2.75,€/Kg.
1076829,dia-es,Rollitos de pollo bandeja (peso aprox. 710 gr),2.56,3.6,€/Kg.
1076830,dia-es,Filetes de contramuslo de pollo bandeja (peso aprox. 700 gr),4.38,6.25,€/Kg.
1076831,dia-es,Filetes de pechuga de pollo corte fino bandeja (peso aprox. 750 gr),5.92,7.89,€/Kg.
1076832,dia-es,Filetes de pechuga de pollo a las finas hierbas bandeja 375 gr,2.6,6.93,€/Kg.
1076833,dia-es,ROLER cintas de pollo marinadas bandeja 350 gr,3.25,9.29,€/Kg.
1076834,dia-es,Alas de pollo enteras bandeja 800 gr,3.69,4.61,€/Kg.
1076835,dia-es,Pollo de antaño limpio unidad (peso aprox. 2.3 Kg),8.26,3.59,€/Kg.
1076836,dia-es,Solomillos de pollo bandeja 350 gr,2.65,7.57,€/Kg.
1076837,dia-es,Jamoncitos de pollo bandeja 500 gr,2.45,4.9,€/Kg.
1076838,dia-es,Cuartos traseros de pollo selección (peso aprox. 1.3 Kg),5.19,3.99,€/Kg.
